ONS_Code,asc_total,18_to_64_Physical_Support,18_to_64_Sensory_Support,18_to_64_Support_for_Memory_and_cognition,18_to_64_Learning_Disability_Support,18_to_64_Mental_Health_Support,65_and_over_Physical_Support,65_and_over_Sensory_Support,65_and_over_Support_for_Memory_and_Cognition,65_and_over_Learning_Disability_Support,65_and_over_Mental_Health_Support,total_long_term_support,total_short_term_support
E09000007,63701186,7971000,130400,62000,16048825,4977000,23794961,1124000,1220000,1267000,7106000,63007961,693225
E09000011,79235517,8108528,756907,638622,28224171,8543712,19354071,430836,10238301,1900018,1040351,76647723.79,2587793.59
E09000012,53532156,4192975,307181,251000,18256000,3864000,13362000,242000,7978000,745000,4334000,51988156.62,1544000
E09000013,44030000,2054001,0,0,12849000,4310000,21348999,0,0,1588000,1880000,43014705.1,1015294.896
E09000019,61530230,7521740,31880,172620,20169420,4490260,21768390,148290,1184900,1020510,5022220,57888690,3641540
E09000020,36384000,2471000,7000,9000,7821000,4412000,16728000,33000,948000,2054000,1901000,35472000,912000
E09000022,72220920,8448493,249650,227164,24883880,8870172,17182347,36230,6701776,2187070,3434138,67412510,4808410
E09000023,78417794,7753376,180509,427527,29614803,4250864,27754678,210579,1259718,2735106,4230634,76902018,1515776
E09000028,78848358,10463541,0,0,31838865,2000931,28839664,0,511097,874228,4320032,76434420,2413938
E09000030,77893000,8147000,214000,97000,28190000,10329000,21120000,588000,3310000,4321000,1577000,75377000,2516000
E09000032,72034000,8171000,595000,313000,27132000,6090000,18996000,440000,2317000,4015000,3965000,70911000,1123000
E09000033,58437150,2312465,452451,355487,18095134,4104470,21712419,50272,5151625,3030135,3172692,55042918.11,3394231.19
E09000001,3568000,288000,1000,48000,715000,1009000,506000,11000,459000,28000,503000,3392000,176000
E09000002,37797304,4575183,332748,0,11322799,1781500,15548000,225679,2486941,909300,615154,37079304,718000
E09000003,87208850,7574735,411540,140308,33355460,5770680,27121678,527105,7430048,3262603,1614693,74022869.47,13185980.99
E09000004,48267000,4231000,241000,281000,18540000,1854000,13908000,240000,5839000,2285000,848000,47085000,1182000
E09000005,63257000,7069000,108000,79000,23171000,2795000,24858000,378000,1892000,2305000,602000,62150000,1107000
E09000006,69053000,4625000,167000,549000,29894000,3388000,16584000,214000,9823000,2309000,1500000,68199000,854000
E09000008,81906123,9071497,53685,332427,36328991,3310999,17545286,490979,9565215,3869189,1337855,77490859.93,4415264.56
E09000009,72636022,8220098,480807,142887,17960826,3728523,31989964,947169,5180265,1661000,2324483,64627767,8008255
E09000010,83024370,7042440,113090,164620,23309500,4550460,32929290,102590,8274980,3044470,3492930,76988260,6036110
E09000014,84521201,7055023,1031127,66635,27148193,10870754,26670236,686421,7347336,1945808,1699668,83236564,1284637
E09000015,52039651,5038014,403241,344390,19420970,3539000,18254765,590846,1698643,2576220,173562,51271445,768206
E09000016,54803755,4974221,148328,264950,18412834,1466405,22924152,525863,4579753,1316673,190576,52919920.02,1883833.68
E09000017,65318155,7363281,117822,288553,25163460,3546269,16438196,163477,8645276,2463111,1128710,60552517.26,4765636.422
E09000018,41594000,3945000,428000,18000,15944000,1834000,14152000,100000,1122000,2578000,1473000,41131000,463000
E09000021,43229000,4943000,105000,80000,16950000,1670000,16289000,198000,1528000,1337000,129000,38690000,4539000
E09000024,44829510,5020570,210510,128270,16928500,1116500,16559060,734040,2161260,1364600,606200,39810310,5019200
E09000025,56725592,7838688,393448,469114,19101060,6322727,15316674,651375,3211465,1680915,1740126,55742553,983039
E09000026,61901000,4687000,332000,208000,20668000,2797000,24532000,253000,3862000,2656000,1906000,61415000,486000
E09000027,48687000,6635000,146000,368000,16346000,2165000,11109000,235000,6286000,4925000,472000,47353000,1334000
E09000029,42301798,3658819,137256,103656,20164979,1062230,9220504,657140,1253885,4161204,1882125,40213633,2088165
E09000031,59929000,4218000,68000,193000,23788000,5625000,2143000,159000,21335000,2095000,305000,59076000,853000
