New_Code,Borough,Names,Aged_0_15,Aged_16_64,Aged_Over65
E09000001,City_of_London,City_of_London,7.5,77.5,15
E05000026,Barking_and_Dagenham,Abbey,25.27472527,69.96336996,5.128205128
E05000027,Barking_and_Dagenham,Alibon,25.96153846,63.46153846,10.57692308
E05000028,Barking_and_Dagenham,Becontree,24.89626556,66.39004149,9.128630705
E05000029,Barking_and_Dagenham,Chadwell_Heath,24.13793103,60.591133,15.27093596
E05000030,Barking_and_Dagenham,Eastbrook,20.28301887,65.09433962,14.62264151
E05000031,Barking_and_Dagenham,Eastbury,25.64102564,64.52991453,9.829059829
E05000032,Barking_and_Dagenham,Gascoigne,31.67259786,62.63345196,5.693950178
E05000033,Barking_and_Dagenham,Goresbrook,25.66371681,63.27433628,10.61946903
E05000034,Barking_and_Dagenham,Heath,25.57077626,62.55707763,11.87214612
E05000035,Barking_and_Dagenham,Longbridge,21.88841202,65.66523605,12.01716738
E05000036,Barking_and_Dagenham,Mayesbrook,26.44230769,62.5,11.05769231
E05000037,Barking_and_Dagenham,Parsloes,25.75757576,63.13131313,11.11111111
E05000038,Barking_and_Dagenham,River,26.31578947,63.59649123,10.0877193
E05000039,Barking_and_Dagenham,Thames,31.52542373,62.71186441,5.762711864
E05000040,Barking_and_Dagenham,Valence,25,63,12
E05000041,Barking_and_Dagenham,Village,24.42396313,64.05529954,11.52073733
E05000042,Barking_and_Dagenham,Whalebone,23.04147465,64.51612903,11.98156682
E05000043,Barnet,Brunswick_Park,20.05988024,64.37125749,15.56886228
E05000044,Barnet,Burnt_Oak,24.19354839,66.39784946,9.139784946
E05000045,Barnet,Childs_Hill,19.55445545,67.82178218,12.62376238
E05000046,Barnet,Colindale,22.37762238,69.46386946,8.158508159
E05000047,Barnet,Coppetts,19.59654179,69.16426513,10.95100865
E05000048,Barnet,East_Barnet,20.79510703,64.52599388,14.67889908
E05000049,Barnet,East_Finchley,19.25465839,67.08074534,13.66459627
E05000050,Barnet,Edgware,22.78106509,62.4260355,14.79289941
E05000051,Barnet,Finchley_Church_End,19.0625,64.0625,16.875
E05000052,Barnet,Garden_Suburb,20.74303406,61.91950464,17.3374613
E05000053,Barnet,Golders_Green,26.10722611,62.93706294,10.95571096
E05000054,Barnet,Hale,22.79202279,63.24786325,13.96011396
E05000055,Barnet,Hendon,21.02425876,66.84636119,12.12938005
E05000056,Barnet,High_Barnet,18.32797428,64.30868167,17.36334405
E05000057,Barnet,Mill_Hill,21.95767196,64.28571429,14.02116402
E05000058,Barnet,Oakleigh,19.12225705,63.63636364,17.24137931
E05000059,Barnet,Totteridge,19.93670886,62.65822785,17.08860759
E05000060,Barnet,Underhill,19.87767584,63.60856269,16.51376147
E05000061,Barnet,West_Finchley,17.96407186,68.86227545,13.17365269
E05000062,Barnet,West_Hendon,20.33426184,67.96657382,11.42061281
E05000063,Barnet,Woodhouse,18.82022472,67.13483146,13.76404494
E05000064,Bexley,Barnehurst,18.30985915,62.44131455,19.24882629
E05000065,Bexley,Belvedere,22.44897959,64.48979592,13.06122449
E05000066,Bexley,Blackfen_and_Lamorbey,18.98148148,62.5,18.51851852
E05000067,Bexley,Blendon_and_Penhill,18.46846847,62.16216216,18.91891892
E05000068,Bexley,Brampton,16.35514019,61.21495327,22.42990654
E05000069,Bexley,Christchurch,18.22222222,63.55555556,18.66666667
E05000070,Bexley,Colyers,22.46696035,62.55506608,14.97797357
E05000071,Bexley,Crayford,21.36752137,63.67521368,14.95726496
E05000072,Bexley,Cray_Meadows,20.61403509,61.40350877,17.54385965
E05000073,Bexley,Danson_Park,18.09954751,63.80090498,17.64705882
E05000074,Bexley,East_Wickham,18.5520362,62.8959276,19.00452489
E05000075,Bexley,Erith,24.30278884,63.74501992,11.95219124
E05000076,Bexley,Falconwood_and_Welling,18.63636364,65,16.36363636
E05000077,Bexley,Lesnes_Abbey,20.43478261,63.04347826,16.08695652
E05000078,Bexley,Longlands,16.43192488,62.44131455,21.12676056
E05000079,Bexley,North_End,26.69491525,62.71186441,10.59322034
E05000080,Bexley,Northumberland_Heath,20,63.72093023,16.27906977
E05000081,Bexley,St._Mary's,17.84037559,60.09389671,22.0657277
E05000082,Bexley,St._Michael's,21.23893805,64.15929204,15.04424779
E05000083,Bexley,Sidcup,15.38461538,64.25339367,20.36199095
E05000084,Bexley,Thamesmead_East,27.41935484,65.32258065,7.258064516
E05000085,Brent,Alperton,18.91891892,71.28378378,9.797297297
E05000086,Brent,Barnhill,20.49689441,67.08074534,12.42236025
E05000087,Brent,Brondesbury_Park,16.98113208,70.56603774,12.0754717
E05000088,Brent,Dollis_Hill,23.80952381,64.46886447,11.72161172
E05000089,Brent,Dudden_Hill,20.64516129,69.03225806,10.32258065
E05000090,Brent,Fryent,20.57761733,67.14801444,12.27436823
E05000091,Brent,Harlesden,26.80115274,64.84149856,8.645533141
E05000092,Brent,Kensal_Green,20.26578073,70.09966777,9.634551495
E05000093,Brent,Kenton,16.06425703,65.86345382,17.67068273
E05000094,Brent,Kilburn,19.25287356,71.55172414,8.908045977
E05000095,Brent,Mapesbury,16.66666667,74.52830189,8.805031447
E05000096,Brent,Northwick_Park,16.28787879,70.83333333,13.25757576
E05000097,Brent,Preston,20.38216561,66.87898089,12.7388535
E05000098,Brent,Queens_Park,19.41747573,71.197411,9.385113269
E05000099,Brent,Queensbury,19.56521739,68.01242236,12.42236025
E05000100,Brent,Stonebridge,26.80115274,64.26512968,8.933717579
E05000101,Brent,Sudbury,21.05263158,68.09210526,10.85526316
E05000102,Brent,Tokyngton,18.26086957,71.30434783,10.43478261
E05000103,Brent,Welsh_Harp,21.14695341,67.02508961,11.82795699
E05000104,Brent,Wembley_Central,18.32797428,71.70418006,10.28938907
E05000105,Brent,Willesden_Green,19.18238994,72.95597484,7.86163522
E05000106,Bromley,Bickley,19.21824104,60.58631922,20.19543974
E05000107,Bromley,Biggin_Hill,18.22660099,63.54679803,18.22660099
E05000108,Bromley,Bromley_Common_and_Keston,20.63492063,62.22222222,17.14285714
E05000109,Bromley,Bromley_Town,20.28169014,65.91549296,13.8028169
E05000110,Bromley,Chelsfield_and_Pratts_Bottom,19.04761905,60.88435374,20.06802721
E05000111,Bromley,Chislehurst,18.09210526,60.19736842,21.71052632
E05000112,Bromley,Clock_House,20.88607595,66.7721519,12.34177215
E05000113,Bromley,Copers_Cope,14.28571429,68.88888889,16.82539683
E05000114,Bromley,Cray_Valley_East,22.36421725,60.7028754,16.93290735
E05000115,Bromley,Cray_Valley_West,23.46041056,61.29032258,15.24926686
E05000116,Bromley,Crystal_Palace,20.23809524,71.42857143,8.333333333
E05000117,Bromley,Darwin,18.0952381,58.0952381,23.80952381
E05000118,Bromley,Farnborough_and_Crofton,17.50841751,58.24915825,24.24242424
E05000119,Bromley,Hayes_and_Coney_Hall,18.82716049,62.03703704,19.13580247
E05000120,Bromley,Kelsey_and_Eden_Park,19.50464396,62.22910217,18.26625387
E05000121,Bromley,Mottingham_and_Chislehurst_North,22.54901961,63.23529412,14.21568627
E05000122,Bromley,Orpington,18.64951768,59.48553055,21.86495177
E05000123,Bromley,Penge_and_Cator,21.24645892,68.55524079,10.4815864
