GEO_CODE,population,bad_very_bad_health,bad_health_rate
E05000001,1465,30,0.020
E05000015,2782,122,0.044
E05000026,12786,553,0.043
E05000027,10385,697,0.067
E05000028,11545,804,0.070
E05000029,10021,682,0.068
E05000030,10506,621,0.059
E05000031,11624,748,0.064
E05000032,12452,727,0.058
E05000033,11267,716,0.064
E05000034,10786,721,0.067
E05000035,11478,523,0.046
E05000036,10342,723,0.070
E05000037,9839,701,0.071
E05000038,10923,592,0.054
E05000039,10728,597,0.056
E05000040,9867,750,0.076
E05000041,10787,655,0.061
E05000042,10575,520,0.049
E05000043,16394,765,0.047
E05000044,18217,1111,0.061
E05000045,20049,1008,0.050
E05000046,17098,817,0.048
E05000047,17250,872,0.051
E05000048,16137,738,0.046
E05000049,15989,754,0.047
E05000050,16728,718,0.043
E05000051,15715,565,0.036
E05000052,15929,431,0.027
E05000053,18818,825,0.044
E05000054,17437,806,0.046
E05000055,18472,751,0.041
E05000056,15307,653,0.043
E05000057,18451,740,0.040
E05000058,15811,731,0.046
E05000059,15159,600,0.040
E05000060,15915,885,0.056
E05000061,16533,699,0.042
E05000062,17402,864,0.050
E05000063,17575,920,0.052
E05000064,10418,468,0.045
E05000065,11890,628,0.053
E05000066,10616,442,0.042
E05000067,10910,441,0.040
E05000068,10546,467,0.044
E05000069,10965,456,0.042
E05000070,11128,666,0.060
E05000071,11226,613,0.055
E05000072,11207,669,0.060
E05000073,10864,497,0.046
E05000074,10858,582,0.054
E05000075,12053,639,0.053
E05000076,10800,391,0.036
E05000077,11346,622,0.055
E05000078,10442,529,0.051
E05000079,11566,667,0.058
E05000080,10598,481,0.045
E05000081,10491,414,0.039
E05000082,11135,457,0.041
E05000083,10844,510,0.047
E05000084,12094,574,0.047
E05000085,14017,612,0.044
E05000086,15772,901,0.057
E05000087,13023,769,0.059
E05000088,13425,728,0.054
E05000089,15059,779,0.052
E05000090,13445,660,0.049
E05000091,17162,1127,0.066
E05000092,14915,857,0.057
E05000093,12133,574,0.047
E05000094,16989,1071,0.063
E05000095,15529,748,0.048
E05000096,12811,512,0.040
E05000097,15474,722,0.047
E05000098,15281,675,0.044
E05000099,15155,837,0.055
E05000100,16903,1167,0.069
E05000101,14950,796,0.053
E05000102,15105,763,0.051
E05000103,13753,768,0.056
E05000104,14727,786,0.053
E05000105,15587,768,0.049
E05000106,15098,603,0.040
E05000107,9951,342,0.034
E05000108,15113,661,0.044
E05000109,16826,567,0.034
E05000110,14507,456,0.031
E05000111,14831,594,0.040
E05000112,15560,584,0.038
E05000113,15392,537,0.035
E05000114,15445,876,0.057
E05000115,16769,1062,0.063
E05000116,12255,652,0.053
E05000117,5110,180,0.035
E05000118,14632,534,0.036
E05000119,15906,495,0.031
E05000120,15892,570,0.036
E05000121,9987,583,0.058
E05000122,15311,694,0.045
E05000123,17326,829,0.048
E05000124,13651,433,0.032
E05000125,15122,719,0.048
E05000126,9824,288,0.029
E05000127,14884,463,0.031
E05000128,12702,490,0.039
