New_ward_code,Ward,Borough,Life_Expectancy_200913,Childhood_Obesity_2013,Incapacity_Benefit_rate__2013,Unemployment_rate_2013,Crime_rate__2013,Deliberate_Fires__2013,GCSE_point_scores__2013,Unauthorised_Absence_in_All_Schools_(pc)__2013,pc_dependent_children_in_outofwork_households__2013,Public_Transport_Accessibility__2013,Homes_with_access_to_open_space_pc_nature_and_pc_greenspace__2013,Subjective_wellbeing_average_score_2013
E09000001,City_of_London,City_of_London,86.394,28.810,0.806,2.235,13.977,0.250,360.400,0.700,10.000,7.862,6.479,7.656
E05000026,Abbey,Barking_and_Dagenham,81.998,23.214,1.563,8.906,120.786,1.159,333.948,1.356,25.385,5.989,0.890,7.789
E05000027,Alibon,Barking_and_Dagenham,78.990,25.564,3.209,10.203,93.150,0.664,322.547,1.489,32.188,3.146,1.791,7.553
E05000028,Becontree,Barking_and_Dagenham,79.230,28.352,2.327,9.930,104.663,0.412,319.208,1.465,31.528,2.872,5.470,7.551
E05000029,Chadwell_Heath,Barking_and_Dagenham,80.761,28.783,2.640,8.591,83.690,1.854,330.437,1.604,28.448,2.261,1.978,7.551
E05000030,Eastbrook,Barking_and_Dagenham,79.212,24.101,1.942,8.293,61.601,1.121,350.136,1.208,23.519,2.306,5.688,7.553
E05000031,Eastbury,Barking_and_Dagenham,82.048,24.255,2.434,10.200,88.307,1.356,339.598,1.446,27.917,2.732,8.238,7.789
E05000032,Gascoigne,Barking_and_Dagenham,78.170,26.132,2.841,12.187,109.575,0.707,340.070,1.318,26.800,3.233,10.013,7.789
E05000033,Goresbrook,Barking_and_Dagenham,80.255,25.821,2.639,9.478,97.824,1.053,344.978,1.156,31.159,2.455,4.827,7.789
E05000034,Heath,Barking_and_Dagenham,78.502,25.408,3.088,11.851,77.107,1.000,338.106,1.120,32.687,2.652,0.441,7.551
E05000035,Longbridge,Barking_and_Dagenham,82.240,22.551,1.419,5.344,73.239,0.681,353.899,0.849,14.603,3.061,2.190,7.789
E05000036,Mayesbrook,Barking_and_Dagenham,80.024,24.878,3.077,9.280,94.730,1.340,339.251,1.327,28.308,2.496,2.426,7.553
E05000037,Parsloes,Barking_and_Dagenham,79.891,23.276,3.175,9.462,80.694,1.200,339.522,1.179,28.667,2.695,1.712,7.553
E05000038,River,Barking_and_Dagenham,76.543,31.183,2.397,8.455,62.899,0.696,324.346,1.264,25.915,3.010,2.923,7.553
E05000039,Thames,Barking_and_Dagenham,80.053,24.887,1.667,8.726,74.486,1.745,315.887,1.232,19.429,2.134,6.328,7.789
E05000040,Valence,Barking_and_Dagenham,78.847,21.466,3.150,9.277,83.824,0.891,335.202,1.576,30.000,3.222,2.382,7.551
E05000041,Village,Barking_and_Dagenham,78.451,27.822,2.643,11.868,105.654,1.005,316.151,1.453,29.219,2.687,7.870,7.553
E05000042,Whalebone,Barking_and_Dagenham,83.446,24.576,1.631,6.752,90.005,0.550,346.480,1.130,19.667,2.904,15.172,7.551
E05000043,Brunswick_Park,Barnet,83.531,15.273,1.636,3.836,57.274,0.294,367.983,0.832,11.481,2.887,0.808,7.357
E05000044,Burnt_Oak,Barnet,78.825,24.441,2.063,6.760,74.375,0.633,345.423,1.180,22.364,3.586,7.410,7.344
E05000045,Childs_Hill,Barnet,81.107,20.112,1.241,6.158,96.495,0.145,364.848,1.117,15.851,4.537,1.013,7.386
E05000046,Colindale,Barnet,83.935,25.101,1.275,4.649,56.375,0.228,337.320,1.341,18.860,2.496,6.354,7.344
E05000047,Coppetts,Barnet,80.553,19.093,1.700,4.732,104.066,0.452,361.796,0.906,17.037,2.904,2.035,7.357
E05000048,East_Barnet,Barnet,83.153,21.030,1.528,4.061,58.058,0.180,356.095,0.559,15.375,2.772,4.266,7.394
E05000049,East_Finchley,Barnet,83.600,16.267,1.712,4.034,55.160,0.242,366.088,0.798,15.205,2.626,3.450,7.357
E05000050,Edgware,Barnet,85.588,20.082,1.308,4.215,69.218,0.872,370.021,0.998,12.258,3.009,3.773,7.344
E05000051,Finchley_Church_End,Barnet,86.381,13.213,1.095,3.189,48.420,0.184,386.562,0.773,6.620,2.899,13.338,7.357
E05000052,Garden_Suburb,Barnet,87.129,13.397,0.583,1.940,57.443,0.061,387.153,0.734,4.935,2.719,1.413,7.386
E05000053,Golders_Green,Barnet,81.646,16.532,1.264,4.617,70.384,0.319,358.890,0.986,9.237,3.403,8.931,7.386
E05000054,Hale,Barnet,83.661,22.073,1.549,3.960,63.490,0.224,352.935,0.926,13.229,2.580,5.144,7.344
E05000055,Hendon,Barnet,82.159,18.519,1.299,4.652,72.516,0.264,365.346,0.987,9.121,2.679,7.332,7.386
E05000056,High_Barnet,Barnet,83.135,14.489,1.618,2.710,65.457,0.252,383.528,0.554,6.957,2.674,3.758,7.394
E05000057,Mill_Hill,Barnet,85.250,19.106,1.174,3.783,68.654,0.364,358.110,1.157,11.078,2.283,3.683,7.344
E05000058,Oakleigh,Barnet,82.690,14.815,1.401,3.525,60.134,0.431,375.878,0.770,11.892,3.260,7.786,7.394
E05000059,Totteridge,Barnet,84.547,16.258,1.040,2.459,42.326,0.062,381.287,0.673,8.026,2.546,8.001,7.394
E05000060,Underhill,Barnet,81.001,17.794,2.406,5.234,60.472,1.021,360.450,1.109,19.506,2.607,4.524,7.394
E05000061,West_Finchley,Barnet,82.952,16.199,1.319,3.303,62.228,0.293,387.761,0.742,7.606,3.637,16.064,7.357
E05000062,West_Hendon,Barnet,83.360,18.049,1.587,5.201,98.212,0.543,377.683,0.917,14.235,3.549,0.177,7.386
E05000063,Woodhouse,Barnet,83.075,19.868,1.870,4.593,78.520,0.275,377.301,0.792,13.000,2.878,11.519,7.357
E05000064,Barnehurst,Bexley,82.561,23.333,1.069,3.372,54.267,0.379,353.319,0.790,13.333,3.136,1.742,7.844
E05000065,Belvedere,Bexley,82.558,26.923,1.911,6.055,74.656,1.235,336.955,1.023,24.545,2.753,4.519,7.822
E05000066,Blackfen_and_Lamorbey,Bexley,85.423,19.461,0.896,2.035,41.318,0.093,365.443,0.791,8.980,2.052,5.006,7.836
E05000067,Blendon_and_Penhill,Bexley,84.368,17.621,0.803,2.386,47.665,0.091,365.384,0.703,6.667,2.066,1.076,7.836
E05000068,Brampton,Bexley,85.085,20.061,1.395,2.345,44.936,0.377,376.074,0.502,7.500,2.665,8.517,7.844
E05000069,Christchurch,Bexley,81.633,15.152,1.408,3.250,80.664,0.625,371.636,0.836,12.653,3.422,2.885,7.844
E05000070,Colyers,Bexley,81.634,26.316,1.773,6.264,55.782,0.531,325.162,1.003,20.339,2.049,11.956,7.822
E05000071,Crayford,Bexley,81.876,20.056,1.678,4.846,52.169,0.687,342.264,1.230,20.678,2.054,2.912,7.836
E05000072,Cray_Meadows,Bexley,81.884,25.574,2.230,4.053,46.308,0.442,348.619,1.003,22.727,2.316,10.594,7.836
E05000073,Danson_Park,Bexley,82.208,21.652,1.143,3.145,66.546,0.182,366.465,0.958,13.333,2.937,5.901,7.844
E05000074,East_Wickham,Bexley,83.080,23.352,1.460,4.220,60.027,0.091,359.778,0.929,16.800,2.454,2.353,7.844
E05000075,Erith,Bexley,81.913,27.249,1.772,6.437,74.462,1.532,343.781,1.182,23.000,2.552,6.928,7.822
E05000076,Falconwood_and_Welling,Bexley,83.221,22.741,0.634,2.989,65.394,0.000,378.754,0.819,8.600,2.385,9.439,7.844
E05000077,Lesnes_Abbey,Bexley,82.895,22.785,1.655,5.313,77.879,0.699,356.016,0.835,18.036,2.779,4.837,7.822
E05000078,Longlands,Bexley,81.793,18.039,1.288,2.791,40.351,0.284,360.769,0.747,8.810,2.652,2.796,7.836
E05000079,North_End,Bexley,78.662,24.786,1.986,8.587,82.666,2.468,336.012,1.400,30.405,2.592,14.846,7.822
E05000080,Northumberland_Heath,Bexley,82.802,23.333,1.533,3.529,61.706,0.467,344.008,0.905,16.538,2.143,5.899,7.822
E05000081,St_Mary's,Bexley,84.908,14.419,1.024,1.996,43.448,0.190,360.380,0.514,6.087,2.630,6.055,7.836
E05000082,St_Michael's,Bexley,82.757,23.146,1.049,3.507,41.521,0.267,362.131,0.717,11.379,2.168,8.585,7.844
E05000083,Sidcup,Bexley,81.600,18.644,0.851,1.995,43.154,0.091,373.936,0.667,8.605,3.215,3.820,7.836
E05000084,Thamesmead_East,Bexley,79.928,26.157,1.491,9.460,64.327,1.463,340.363,0.952,23.165,2.573,9.906,7.822
E05000085,Alperton,Brent,82.504,18.182,1.490,4.630,69.671,0.273,336.866,1.175,14.412,2.967,7.937,7.371
E05000086,Barnhill,Brent,79.381,26.752,2.243,6.790,77.675,0.125,352.393,1.047,21.519,3.011,6.821,7.375
E05000087,Brondesbury_Park,Brent,84.015,21.212,1.838,5.426,92.673,0.456,344.101,1.052,15.283,3.766,14.659,7.635
